"id";"user_id";"1c_id";"1cuser_id";"type_order_id";"type_client_id";"client_name";"user_company";"phone";"delivery_town";"delivery_street";"delivery_house";"delivery_house_block";"delivery_office";"type_payment_id";"company_full";"edrpou";"inn";"code_index";"region";"area";"city";"street";"house";"house_block";"office";"comment";"status_id";"created_at";"updated_at"
"42";"1";"NULL";"NULL";"1";"1";"trtretretr";"NULL";"15454354354";"";"";"0";"";"0";"1";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"";"1";"2017-05-11 19:26:02";"2017-05-11 19:26:02"
"43";"12";"NULL";"NULL";"1";"1";"Kuzma";"NULL";"123456789";"";"";"0";"";"0";"1";"ELTEX";"54354354";"987e44435d";"27332";"Odessskaya";"Frunze";"Odessa";"Kalinina";"46";"1";"1";"";"1";"2017-05-11 19:36:53";"2017-05-15 20:27:41"
"44";"12";"NULL";"NULL";"1";"1";"54354cvtresfg";"NULL";"4324";"";"";"0";"";"0";"1";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"";"4";"2017-05-11 19:38:21";"2017-05-11 20:49:33"
"45";"12";"NULL";"NULL";"4";"1";"54354cvtresfg";"NULL";"4324";"";"";"0";"";"0";"1";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"";"4";"2017-05-11 19:39:57";"2017-05-11 21:20:37"
"46";"12";"NULL";"NULL";"1";"1";"54354cvtresfg";"NULL";"4324";"";"";"0";"";"0";"3";"";"";"";"";"";"";"";"";"";"";"";"";"1";"2017-05-16 21:22:05";"2017-06-14 20:58:55"
"47";"15";"NULL";"NULL";"3";"2";"Иванов";"Елтекс";"432432431";"";"";"0";"";"0";"2";"АСУ Прект Инжиниринг ЕЛТЕКС";"1234567891";"NULL";"12345";"Одесская обл";"Приморский рн.";"Одесса";"Ленина";"12";"1";"4";"";"3";"2017-06-18 07:37:25";"2017-06-22 21:38:26"
"48";"15";"NULL";"NULL";"3";"2";"Иванов";"Елтекс";"432432431";"";"";"0";"";"0";"2";"АСУ Прект Инжиниринг ЕЛТЕКС";"1234567891";"NULL";"12345";"Одесская обл";"Приморский рн.";"Одесса";"Ленина";"12";"1";"4";"";"2";"2017-06-18 07:37:33";"2017-06-20 22:22:58"
"49";"15";"NULL";"NULL";"1";"2";"Иванов";"Елтекс";"432432431";"";"";"0";"";"0";"2";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"";"1";"2017-08-04 20:33:53";"2017-08-04 20:33:53"
"50";"19";"NULL";"NULL";"1";"1";"Петров";"NULL";"1234567891";"";"";"0";"";"0";"1";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"тест";"1";"2017-09-29 11:17:14";"2017-09-29 11:17:14"
"51";"20";"NULL";"NULL";"1";"1";"ytrytrt";"NULL";"1234567891";"";"";"0";"";"0";"1";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"NULL";"6465465";"1";"2017-09-29 11:18:51";"2017-09-29 11:18:51"
